Player,Matches,Innings,No,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
Aaron Finch,110,106,2,4118,153,39.6,4646,88.64,13,0,22,412,98
David Warner,107,105,4,4432,179,43.88,4612,96.1,14,0,18,462,70
Usman Khawaja,32,31,2,1253,104,43.21,1510,82.98,2,0,10,121,12
Steven Smith,109,95,12,3449,164,41.55,4000,86.22,8,0,19,290,31
Shaun Marsh,71,70,4,2747,151,41.62,3370,81.51,7,0,15,245,36
Glenn Maxwell,101,91,10,2704,102,33.38,2215,122.08,1,0,19,271,87
Marcus Stoinis,34,31,6,963,146,38.52,1030,93.5,1,0,6,75,36
Alex Carey,20,17,3,429,55,30.64,514,83.46,0,0,1,40,3
Kane Richards,20,9,4,50,19,10,55,90.91,0,0,0,3,3
Pat Cummins,49,27,11,183,36,11.44,260,70.38,0,0,0,15,3
Nathan Coulter,28,18,6,154,34,12.83,190,81.05,0,0,0,12,2
Mitchell Starc,76,38,16,280,52,12.73,313,89.46,0,0,1,23,7
Jason Behrendorff,6,2,2,7,6,0,4,175,0,0,0,0,0
Adam Zampa,45,18,4,99,22,7.07,156,63.46,0,0,0,6,1
Nathan Lyon,25,11,8,69,30,23,73,94.52,0,0,0,7,2
